SubSystemId,Controller
1,/ASTIR
1,/ASTIR/
2,/ASTIR/ArchivedDataEmails
2,/ASTIR/ArchivedDataEmails/
2,/ASTIR/ArchivedDataEmails/GetDataFiles/
2,/ASTIR/ArchivedDataEmails/GetGroupMaxFileSize/
2,/ASTIR/ArchivedDataEmails/ReadEntries
3,/ASTIR/AstirCustomTagLists
3,/ASTIR/AstirCustomTagLists/
4,/ASTIR/AuditDocument/
4,/ASTIR/AuditDocument/ReadAuditDocumentEntries/
5,/ASTIR/EditReports
5,/ASTIR/EditReports/
5,/ASTIR/EditReports/CheckIfAttributesExist/
5,/ASTIR/EditReports/CheckIfComponentGroupsExist/
5,/ASTIR/EditReports/CloneComponentAttributeEntries/
5,/ASTIR/EditReports/CloneComponentEntries/
5,/ASTIR/EditReports/CloneConfigItems/
5,/ASTIR/EditReports/CloneContentEntries/
5,/ASTIR/EditReports/CloneObjectEntries/
5,/ASTIR/EditReports/CloneReportConfig/
5,/ASTIR/EditReports/CreateAttributeParameterEntries/
5,/ASTIR/EditReports/CreateComponentAttributeEntries/
5,/ASTIR/EditReports/CreateComponentEntries/
5,/ASTIR/EditReports/CreateComponentGroupEntries/
5,/ASTIR/EditReports/CreateConfigureEntries/
5,/ASTIR/EditReports/CreateContentEntries/
5,/ASTIR/EditReports/CreateContentListEntries/
5,/ASTIR/EditReports/CreateLinkEntries/
5,/ASTIR/EditReports/CreateObjectEntries/
5,/ASTIR/EditReports/CreateObjectPropertyEntries/
5,/ASTIR/EditReports/DeleteAttributeParameterEntries/
5,/ASTIR/EditReports/DeleteComponentAttributeEntries/
5,/ASTIR/EditReports/DeleteComponentEntries/
5,/ASTIR/EditReports/DeleteComponentGroupEntries/
5,/ASTIR/EditReports/DeleteConfigureEntries/
5,/ASTIR/EditReports/DeleteContentEntries/
5,/ASTIR/EditReports/DeleteContentListEntries/
5,/ASTIR/EditReports/DeleteLinkEntries/
5,/ASTIR/EditReports/DeleteObjectEntries/
5,/ASTIR/EditReports/DeleteObjectPropertyEntries/
5,/ASTIR/EditReports/DeletePreviousReportVersion/
5,/ASTIR/EditReports/GetComponentLinkedLocations
5,/ASTIR/EditReports/GetContentList/
5,/ASTIR/EditReports/GetLinkValueType/
5,/ASTIR/EditReports/GetLinkValues/
5,/ASTIR/EditReports/GetLinkedLocations
5,/ASTIR/EditReports/GetParameterValueType/
5,/ASTIR/EditReports/GetReportJsonData/
5,/ASTIR/EditReports/GetSystems/
5,/ASTIR/EditReports/GetTabCounts/
5,/ASTIR/EditReports/GetValueType/
5,/ASTIR/EditReports/LoadConfigItemsToClone/
5,/ASTIR/EditReports/LoadPreviousReportVersions/
5,/ASTIR/EditReports/LoadReport/
5,/ASTIR/EditReports/LoadReports/
5,/ASTIR/EditReports/ReadAttributeParameterEntries/
5,/ASTIR/EditReports/ReadComponentAttributeEntries/
5,/ASTIR/EditReports/ReadComponentEntries/
5,/ASTIR/EditReports/ReadComponentGroupEntries/
5,/ASTIR/EditReports/ReadComponentOrder/
5,/ASTIR/EditReports/ReadComponentPropertyEntries/
5,/ASTIR/EditReports/ReadConfigureEntries/
5,/ASTIR/EditReports/ReadContentEntries/
5,/ASTIR/EditReports/ReadContentListEntries/
5,/ASTIR/EditReports/ReadInputTagList/
5,/ASTIR/EditReports/ReadLinkEntries/
5,/ASTIR/EditReports/ReadObjectEntries/
5,/ASTIR/EditReports/ReadObjectPropertyEntries/
5,/ASTIR/EditReports/ReadObjectPropertyOrder/
5,/ASTIR/EditReports/ReadOutputTagList/
5,/ASTIR/EditReports/ReadReportContentOrder/
5,/ASTIR/EditReports/ReadSectionContentOrder/
5,/ASTIR/EditReports/RevertReport/
5,/ASTIR/EditReports/SaveReport/
5,/ASTIR/EditReports/UpdateAttributeParameterEntries/
5,/ASTIR/EditReports/UpdateComponentAttributeEntries/
5,/ASTIR/EditReports/UpdateComponentEntries/
5,/ASTIR/EditReports/UpdateComponentGroupEntries/
5,/ASTIR/EditReports/UpdateComponentOrder
5,/ASTIR/EditReports/UpdateConfigureEntries/
5,/ASTIR/EditReports/UpdateContentEntries/
5,/ASTIR/EditReports/UpdateContentListEntries/
5,/ASTIR/EditReports/UpdateContentOrder
5,/ASTIR/EditReports/UpdateLinkEntries/
5,/ASTIR/EditReports/UpdateObjectEntries/
5,/ASTIR/EditReports/UpdateObjectPropertyEntries/
5,/ASTIR/EditReports/UpdateObjectPropertyOrder
5,/ASTIR/EditReports/UpdateSectionContentOrder
6,/ASTIR/ExportData
6,/ASTIR/ExportData/
6,/ASTIR/ExportData/GetTagFile
6,/ASTIR/ExportData/GetTagList/
6,/ASTIR/ExportData/ReadTagInfo/
7,/ASTIR/ImportData
7,/ASTIR/ImportData/
7,/ASTIR/ImportData/GetImportInfo/
7,/ASTIR/ImportData/ReadUploadEvents/
7,/ASTIR/ImportData/RefreshUploadAlert/
8,/ASTIR/ManageReports
8,/ASTIR/ManageReports/
8,/ASTIR/ManageReports/CreateNewReport/
8,/ASTIR/ManageReports/DeleteReportFigure
8,/ASTIR/ManageReports/GetLinkedContributors
8,/ASTIR/ManageReports/GetLinkedUsers
8,/ASTIR/ManageReports/GetLogDetails
8,/ASTIR/ManageReports/GetReportAuditDetails
8,/ASTIR/ManageReports/GetReportFigures
8,/ASTIR/ManageReports/GetSystems/
8,/ASTIR/ManageReports/GetUnLinkedContributors
8,/ASTIR/ManageReports/GetUnLinkedUsers
8,/ASTIR/ManageReports/LinkAction
8,/ASTIR/ManageReports/LinkContributorsAction
8,/ASTIR/ManageReports/ReadEntries
8,/ASTIR/ManageReports/ReadMyTriggers
8,/ASTIR/ManageReports/RemoveReport/
8,/ASTIR/ManageReports/ReportAccessRequestTicketsExist
8,/ASTIR/ManageReports/ReturnTriggerSettingsForReports/
8,/ASTIR/ManageReports/TriggerReports/
8,/ASTIR/ManageReports/UnlinkAction
8,/ASTIR/ManageReports/UnlinkContributorsAction
8,/ASTIR/ManageReports/UpdateReport/
8,/ASTIR/ManageReports/UpdateTriggers
9,/ASTIR/MongoLogViewer
9,/ASTIR/MongoLogViewer/
9,/ASTIR/MongoLogViewer/ReadEventLogs/
10,/ASTIR/PendingFiles
10,/ASTIR/PendingFiles/
10,/ASTIR/PendingFiles/ReadPendingFilesForGroup
11,/ASTIR/ReportTags
11,/ASTIR/ReportTags/
11,/ASTIR/ReportTags/AddOutputTags/
11,/ASTIR/ReportTags/CreateAstirInputTags
11,/ASTIR/ReportTags/DeleteAstirInputTags/
11,/ASTIR/ReportTags/DeleteOutputTags/
11,/ASTIR/ReportTags/GetSystems/
11,/ASTIR/ReportTags/LoadAstirTagsToSearch/
11,/ASTIR/ReportTags/LoadReports/
11,/ASTIR/ReportTags/LoadTagsToSearch/
11,/ASTIR/ReportTags/ReadAstirInputTags/
11,/ASTIR/ReportTags/ReadOutputTags/
11,/ASTIR/ReportTags/UpdateAstirInputTags
11,/ASTIR/ReportTags/UpdateOutputTags/
11,/ASTIR/ReportTags/UploadFile/
12,/ASTIR/TagDataViewer
12,/ASTIR/TagDataViewer/
12,/ASTIR/TagDataViewer/GetTagDataValues
12,/ASTIR/TagDataViewer/SearchTags
13,/ASTIR/TagManager
13,/ASTIR/TagManager/
13,/ASTIR/TagManager/AddTags/
13,/ASTIR/TagManager/DeleteTags/
13,/ASTIR/TagManager/GetChangeLogDetails
13,/ASTIR/TagManager/GetLogDetails
13,/ASTIR/TagManager/GetTagInfo/
13,/ASTIR/TagManager/GetTagList/
13,/ASTIR/TagManager/ReadMTBTags/
13,/ASTIR/TagManager/ReadSiteTags/
13,/ASTIR/TagManager/ReadTags/
13,/ASTIR/TagManager/UpdateSiteTags/
13,/ASTIR/TagManager/UpdateTags/
13,/ASTIR/TagManager/UploadFile/
14,/CustomTagListsBase/CreateEntries
14,/CustomTagListsBase/GetAstirReports
14,/CustomTagListsBase/GetDeletedUsers_ByTagListID/
14,/CustomTagListsBase/GetLinkedTags
14,/CustomTagListsBase/GetLinkedUsers
14,/CustomTagListsBase/GetTagLists
14,/CustomTagListsBase/GetUnlinkedTags
14,/CustomTagListsBase/GetUnlinkedUsers
14,/CustomTagListsBase/IsUserLinkedUser
14,/CustomTagListsBase/LinkTags
14,/CustomTagListsBase/LinkUsers
14,/CustomTagListsBase/ReadEntries
14,/CustomTagListsBase/UnlinkTags
14,/CustomTagListsBase/UnlinkUsers
14,/CustomTagListsBase/UpdateEntries
15,/DatabaseManager
15,/DatabaseManager/
16,/DatabaseManager/ATBEvent/
16,/DatabaseManager/ATBEvent/GetATBEvents
16,/DatabaseManager/ATBEvent/ReadEntries/
17,/DatabaseManager/AppSectionRestrictions/
17,/DatabaseManager/AppSectionRestrictions/GetLinkedEntries
17,/DatabaseManager/AppSectionRestrictions/GetLinkedUsers
17,/DatabaseManager/AppSectionRestrictions/GetUnlinkedEntries
17,/DatabaseManager/AppSectionRestrictions/GetUnlinkedUsers
17,/DatabaseManager/AppSectionRestrictions/GetUsers
17,/DatabaseManager/AppSectionRestrictions/LinkEntries
18,/DatabaseManager/AppSmartViews/
18,/DatabaseManager/AppSmartViews/GetGroupReports
18,/DatabaseManager/AppSmartViews/GetLinkedUsers
18,/DatabaseManager/AppSmartViews/GetUnlinkedUsers
18,/DatabaseManager/AppSmartViews/ReadReportEntries/
19,/DatabaseManager/AppVersions/
19,/DatabaseManager/AppVersions/CreateEntries
19,/DatabaseManager/AppVersions/UpdateEntries
20,/DatabaseManager/BatchMenuLinkUsers/
20,/DatabaseManager/BatchMenuLinkUsers/ReadEntries
21,/DatabaseManager/ChangeEvent
21,/DatabaseManager/ChangeEvent/ReadAllChangeEntries/
22,/DatabaseManager/Dashboard/
22,/DatabaseManager/Dashboard/DeleteEntries
22,/DatabaseManager/Dashboard/ReadEntries
23,/DatabaseManager/DashboardLinkSublevel
23,/DatabaseManager/DashboardLinkSublevel/
24,/DatabaseManager/ExportTagDataDeveloper
24,/DatabaseManager/ExportTagDataDeveloper/
24,/DatabaseManager/ExportTagDataDeveloper/PostDataInSqlFile
24,/DatabaseManager/ExportTagDataDeveloper/SearchTags
25,/DatabaseManager/Groups/
26,/DatabaseManager/MaintenanceWindows
26,/DatabaseManager/MaintenanceWindows/CreateMenuEntries/
26,/DatabaseManager/MaintenanceWindows/UpdateMenuEntries/
27,/DatabaseManager/PTBDownloadResource/
28,/DatabaseManager/PTBLicense/
28,/DatabaseManager/PTBLicense/DeleteEntries
29,/DatabaseManager/RuntimeError/
29,/DatabaseManager/RuntimeError/ReadEntries
30,/DatabaseManager/SupportCategory
30,/DatabaseManager/SupportCategory/GetLinkSupportGroupAdminUser
30,/DatabaseManager/SupportCategory/GetLinkedUsers
30,/DatabaseManager/SupportCategory/GetUnLinkSupportGroupAdminUser
30,/DatabaseManager/SupportCategory/GetUnlinkedUsers
30,/DatabaseManager/SupportCategory/GetWorkLogContracts
30,/DatabaseManager/SupportCategory/GetWorkLogSites
30,/DatabaseManager/SupportCategory/Link
30,/DatabaseManager/SupportCategory/LinkSupportGroupAdminUser
30,/DatabaseManager/SupportCategory/UnLinkSupportGroupAdminUser
31,/DatabaseManager/SupportTicketType
31,/DatabaseManager/SupportTicketType/GetLinkedUsers
31,/DatabaseManager/SupportTicketType/GetUnlinkedUsers
31,/DatabaseManager/SupportTicketType/Link
31,/DatabaseManager/SupportTicketType/Unlink
32,/DatabaseManager/ToolboxLinkDashboard/
32,/DatabaseManager/ToolboxLinkDashboard/GetLinkedDashboards
33,/DatabaseManager/UserActivityTracking
33,/DatabaseManager/UserActivityTracking/GetATBSecondaryFilterSelectionData/
33,/DatabaseManager/UserActivityTracking/GetEventMetaData
33,/DatabaseManager/UserActivityTracking/GetMTBSecondaryFilterList/
33,/DatabaseManager/UserActivityTracking/GetMTBSubGraphOverview
33,/DatabaseManager/UserActivityTracking/GetMTBUserActivityOverview
33,/DatabaseManager/UserActivityTracking/GetUserActivityOverView
33,/DatabaseManager/UserActivityTracking/GetUsers/
33,/DatabaseManager/UserActivityTracking/LoadSideBar/
33,/DatabaseManager/UserActivityTracking/ReadATBEntries
33,/DatabaseManager/UserActivityTracking/ReadMTBEntries
34,/DatabaseManager/UserLinkDashboardsCheck/
35,/DatabaseManager/UserLinkGroupUser/
35,/DatabaseManager/UserLinkGroupUser/GetDeletedOrExpiredUsers
35,/DatabaseManager/UserLinkGroupUser/GetLinkedGroupUsers
35,/DatabaseManager/UserLinkGroupUser/GetUnlinkedGroupUsers
36,/DatabaseManager/UserLoginEvents/
36,/DatabaseManager/UserLoginEvents/GetLoginEvents
36,/DatabaseManager/UserLoginEvents/ReadEntries/
37,/DatabaseManager/UserRight/
37,/DatabaseManager/UserRight/UpdateEntries
38,/DatabaseManager/UserViewRights/
38,/DatabaseManager/UserViewRights/GetLinkedUsers
38,/DatabaseManager/UserViewRights/GetUnlinkedUsers
38,/DatabaseManager/UserViewRights/LinkUserRights
38,/DatabaseManager/UserViewRights/ReadEntries/
38,/DatabaseManager/UserViewRights/UnlinkUserRights
39,/DatabaseManager/Users
39,/DatabaseManager/Users/
39,/DatabaseManager/Users/CheckIfEmailExistsAndDeleted
39,/DatabaseManager/Users/CheckSupportLinks
39,/DatabaseManager/Users/CreateMenuLinkUserEntries
39,/DatabaseManager/Users/DeleteMenuLinkUserEntries
39,/DatabaseManager/Users/DeleteUser
39,/DatabaseManager/Users/GetDashboardsLinkedToUser
39,/DatabaseManager/Users/GetLinkedUserGroupRights
39,/DatabaseManager/Users/GetLinkedUserRights
39,/DatabaseManager/Users/GetMenuEntries
39,/DatabaseManager/Users/GetMenuEntries_Unlinked
39,/DatabaseManager/Users/GetSelectedUserOwnerAndReports
39,/DatabaseManager/Users/GetSelectedUserSupervisorDetails
39,/DatabaseManager/Users/GetUnlinkedUserGroupRights
39,/DatabaseManager/Users/GetUnlinkedUserRights
39,/DatabaseManager/Users/GetUserPage
39,/DatabaseManager/Users/GetUsersByGroupId
39,/DatabaseManager/Users/LinkUserGroupRights
39,/DatabaseManager/Users/LinkUserRights
39,/DatabaseManager/Users/ReportDeletionTicketsExist
39,/DatabaseManager/Users/SaveUser
39,/DatabaseManager/Users/UnlinkUserGroupRights
39,/DatabaseManager/Users/UnlinkUserRights
39,/DatabaseManager/Users/UpdateMenuLinkUserEntries
40,/DatabaseManager/WorkLogContract/
41,/DatabaseManager/WorkLogGroup/
42,/DatabaseManager/WorkLogGroupLink/
42,/DatabaseManager/WorkLogGroupLink/CreateTaskCategoryEntries
42,/DatabaseManager/WorkLogGroupLink/DeleteContractEntries
42,/DatabaseManager/WorkLogGroupLink/DeleteTaskCategoryEntries
42,/DatabaseManager/WorkLogGroupLink/ReadContractEntries
42,/DatabaseManager/WorkLogGroupLink/ReadSiteEntries
42,/DatabaseManager/WorkLogGroupLink/ReadTaskCategoryEntries
43,/DatabaseManager/WorkLogTaskCategory/
44,/DatabaseManager/WorkLogTeam/
44,/DatabaseManager/WorkLogTeam/GetDeletedUserList/
44,/DatabaseManager/WorkLogTeam/GetLinkedUsers
44,/DatabaseManager/WorkLogTeam/GetSupervisor/
44,/DatabaseManager/WorkLogTeam/GetUnlinkedUsers
44,/DatabaseManager/WorkLogTeam/Link
44,/DatabaseManager/WorkLogTeam/Unlink
45,/Documentation/
46,/EfficiencyServices
46,/EfficiencyServices/
47,/EfficiencyServices/Account/
47,/EfficiencyServices/Account/CreateEntries
47,/EfficiencyServices/Account/ReadEntries
48,/EfficiencyServices/AccountLinkSystem/
48,/EfficiencyServices/AccountLinkSystem/GetLinkedAccounts
48,/EfficiencyServices/AccountLinkSystem/GetUnlinkedAccounts
49,/EfficiencyServices/CalendarAggregationTags/
49,/EfficiencyServices/CalendarAggregationTags/ReadGridEntries
49,/EfficiencyServices/CalendarAggregationTags/UpdateEntries
50,/EfficiencyServices/CustomCalendar/
50,/EfficiencyServices/CustomCalendar/ReadEntries
50,/EfficiencyServices/CustomCalendar/ReadPeriodDataEntries
51,/EfficiencyServices/DataInput
51,/EfficiencyServices/DataInput/
51,/EfficiencyServices/DataInput/GeneratePDI
51,/EfficiencyServices/DataInput/LoadAccounts
51,/EfficiencyServices/DataInput/LoadGridData/
51,/EfficiencyServices/DataInput/UpdateTagValues/
52,/EfficiencyServices/DataReviewerNodeLinkTag/
52,/EfficiencyServices/DataReviewerNodeLinkTag/GetNodeHierarchy
52,/EfficiencyServices/DataReviewerNodeLinkTag/GetTreeStructuresByGroupID
52,/EfficiencyServices/DataReviewerNodeLinkTag/ReadGridEntries
53,/EfficiencyServices/EngineeringNote/
53,/EfficiencyServices/EngineeringNote/CreateEntries
53,/EfficiencyServices/EngineeringNote/DeleteEntries
53,/EfficiencyServices/EngineeringNote/GetNodeHierarchy
53,/EfficiencyServices/EngineeringNote/GetNotesEntries
53,/EfficiencyServices/EngineeringNote/GetSystems
53,/EfficiencyServices/EngineeringNote/GetTreeStructuresByGroupID
53,/EfficiencyServices/EngineeringNote/UpdateEntries
54,/EfficiencyServices/EngineeringNoteLinkProject
54,/EfficiencyServices/EngineeringNoteLinkProject/
54,/EfficiencyServices/EngineeringNoteLinkProject/CreateEntries
54,/EfficiencyServices/EngineeringNoteLinkProject/DeleteEntries
54,/EfficiencyServices/EngineeringNoteLinkProject/GetProjects
54,/EfficiencyServices/EngineeringNoteLinkProject/GetTreeStructuresByGroupID
54,/EfficiencyServices/EngineeringNoteLinkProject/ReadEntries
54,/EfficiencyServices/EngineeringNoteLinkProject/UpdateEntries
55,/EfficiencyServices/EnvironmentConfiguration/GetEnvironmentConfigurations
56,/EfficiencyServices/EnvironmentTagLock/
56,/EfficiencyServices/EnvironmentTagLock/GetEnvironmentConfigurations
56,/EfficiencyServices/EnvironmentTagLock/GetNodeHierarchy
56,/EfficiencyServices/EnvironmentTagLock/ReadEntries
57,/EfficiencyServices/EnvironmentTags/
58,/EfficiencyServices/ExportTagData
58,/EfficiencyServices/ExportTagData/
58,/EfficiencyServices/ExportTagData/PostTagDataInCsvFilePivotFormat
58,/EfficiencyServices/ExportTagData/PostTagDataInCsvFileStdFormat
58,/EfficiencyServices/ExportTagData/SearchTags
59,/EfficiencyServices/LoadCurtailmentDataInput
